Year,Water_Account_Identifier,Eligible,Enrolled
2020,361,No,No
2020,362,No,No
2020,363,No,No
2020,364,No,No
2020,365,No,No
2020,366,No,No
2020,367,No,No
2020,368,No,No
2020,369,No,No
2020,370,No,No
2020,371,No,No
2020,372,No,No
2020,373,No,No
2020,374,No,No
2020,375,No,No
2020,376,No,No
2020,377,No,No
2020,378,No,No
2020,379,No,No
2020,380,No,No
2020,381,No,No
2020,382,No,No
2020,383,No,No
2020,384,No,No
2020,385,Yes,Yes
2020,386,No,No
2020,387,No,No
2020,388,No,No
2020,389,No,No
2020,390,No,No
2020,391,No,No
2020,392,No,No
2020,393,No,No
2020,394,No,No
2020,395,No,No
2020,396,No,No
2020,397,No,No
2020,398,No,No
2020,399,No,No
2020,400,No,No
2020,401,No,No
2020,402,Yes,Yes
2020,403,No,No
2020,404,No,No
2020,405,No,No
2020,406,No,No
2020,407,No,No
2020,408,Yes,Yes
2020,409,No,No
2020,410,No,No
2020,411,Yes,Yes
2020,412,No,No
2020,413,No,No
2020,414,Yes,Yes
2020,415,No,No
2020,416,No,No
2020,417,No,No
2020,418,No,No
2020,419,No,No
2020,420,No,No
2020,421,Yes,Yes
2020,422,No,No
2020,423,No,No
2020,424,Yes,Yes
2020,425,Yes,Yes
2020,426,Yes,Yes
2020,427,No,No
2020,428,Yes,Yes
2020,429,No,No
2020,430,No,No
2020,431,Yes,Yes
2020,432,No,No
2020,433,No,No
2020,434,No,No
2020,435,No,No
2020,436,No,No
2020,437,No,No
2020,438,No,No
2020,439,No,No
2020,440,Yes,Yes
2020,441,No,No
2020,442,No,No
2020,443,No,No
2020,444,No,No
2020,445,Yes,Yes
2020,446,No,No
2020,447,Yes,Yes
2020,448,No,No
2020,449,No,No
2020,450,No,No
2020,451,No,No
2020,452,Yes,Yes
2020,453,Yes,Yes
2020,454,No,No
2020,455,No,No
2020,456,No,No
2020,457,No,No
2020,458,Yes,Yes
2020,459,No,No
2020,460,No,No
2020,461,No,No
2020,462,No,No
2020,463,No,No
2020,464,No,No
2020,465,Yes,Yes
2020,466,No,No
2020,467,No,No
2020,468,No,No
2020,469,No,No
2020,470,No,No
2020,471,No,No
2020,472,No,No
2020,473,No,No
2020,474,No,No
2020,475,No,No
2020,476,Yes,Yes
2020,477,No,No
2020,478,No,No
2020,479,No,No
2020,480,No,No
2020,481,No,No
2020,482,Yes,Yes
2020,483,No,No
2020,484,No,No
2020,485,No,No
2020,486,No,No
2020,487,Yes,Yes
2020,488,No,No
2020,489,No,No
2020,490,No,No
2020,491,Yes,Yes
2020,492,No,No
2020,493,Yes,Yes
2020,494,No,No
2020,495,No,No
2020,496,No,No
2020,497,Yes,Yes
2020,498,No,No
2020,499,No,No
2020,500,No,No
2020,501,No,No
2020,502,Yes,Yes
2020,503,No,No
2020,504,No,No
2020,505,Yes,Yes
2020,506,No,No
2020,507,No,No
2020,508,Yes,Yes
2020,509,Yes,Yes
2020,510,No,No
2020,511,Yes,Yes
2020,512,No,No
2020,513,No,No
2020,514,Yes,Yes
2020,515,No,No
2020,516,No,No
2020,517,No,No
2020,518,No,No
2020,519,Yes,Yes
2020,520,No,No
2020,521,No,No
2020,522,No,No
2020,523,Yes,Yes
2020,524,No,No
2020,525,Yes,Yes
2020,526,No,No
2020,527,No,No
2020,528,Yes,Yes
2020,529,No,No
2020,530,Yes,Yes
2020,531,Yes,Yes
2020,532,Yes,Yes
2020,533,No,No
2020,534,No,No
2020,535,Yes,Yes
2020,536,No,No
2020,537,No,No
2020,538,No,No
2020,539,No,No
2020,540,No,No
2020,541,No,No
2020,542,No,No
2020,543,Yes,Yes
2020,544,No,No
2020,545,No,No
2020,546,No,No
2020,547,No,No
2020,548,No,No
2020,549,No,No
2020,550,No,No
2020,551,No,No
2020,552,No,No
2020,553,No,No
2020,554,No,No
2020,555,No,No
2020,556,No,No
2020,557,Yes,Yes
2020,558,No,No
2020,559,No,No
2020,560,No,No
2020,561,Yes,Yes
2020,562,No,No
2020,563,Yes,Yes
2020,564,No,No
2020,565,Yes,Yes
2020,566,No,No
2020,567,No,No
2020,568,No,No
2020,569,No,No
2020,570,No,No
2020,571,No,No
2020,572,No,No
2020,573,Yes,Yes
2020,574,No,No
2020,575,No,No
2020,576,Yes,Yes
2020,577,No,No
2020,578,Yes,Yes
2020,579,Yes,Yes
2020,580,No,No
2020,581,No,No
2020,582,No,No
2020,583,No,No
2020,584,No,No
2020,585,No,No
2020,586,No,No
2020,587,No,No
2020,588,Yes,Yes
2020,589,No,No
2020,590,No,No
2020,591,Yes,Yes
2020,592,No,No
2020,593,No,No
2020,594,No,No
2020,595,No,No
2020,596,No,No
2020,597,No,No
2020,598,No,No
2020,599,No,No
2020,600,No,No
2020,601,No,No
2020,602,Yes,Yes
2020,603,No,No
2020,604,No,No
2020,605,No,No
2020,606,Yes,Yes
2020,607,No,No
2020,608,Yes,Yes
2020,609,No,No
2020,610,No,No
2020,611,No,No
2020,612,No,No
2020,613,No,No
2020,614,No,No
2020,615,No,No
2020,616,No,No
2020,617,No,No
2020,618,No,No
2020,619,No,No
2020,620,No,No
2020,621,No,No
2020,622,No,No
2020,623,No,No
2020,624,Yes,Yes
2020,625,No,No
2020,626,No,No
2020,627,Yes,Yes
2020,628,Yes,Yes
2020,629,No,No
2020,630,No,No
2020,631,Yes,Yes
2020,632,No,No
2020,633,Yes,Yes
2020,634,Yes,Yes
2020,635,No,No
2020,636,No,No
2020,637,No,No
2020,638,No,No
2020,639,No,No
2020,640,No,No
2020,641,Yes,Yes
2020,642,No,No
2020,643,No,No
2020,644,No,No
2020,645,No,No
2020,646,No,No
2020,647,Yes,Yes
2020,648,Yes,Yes
2020,649,No,No
2020,650,No,No
2020,651,Yes,Yes
2020,652,No,No
2020,653,No,No
2020,654,No,No
2020,655,Yes,Yes
2020,656,Yes,Yes
2020,657,No,No
2020,658,Yes,Yes
2020,659,Yes,Yes
2020,660,Yes,Yes
2020,661,No,No
2020,662,No,No
2020,663,No,No
2020,664,Yes,Yes
2020,665,No,No
2020,666,No,No
2020,667,No,No
2020,668,No,No
2020,669,No,No
2020,670,No,No
2020,671,No,No
2020,672,No,No
2020,673,No,No
2020,674,No,No
2020,675,Yes,Yes
2020,676,Yes,Yes
2020,677,No,No
2020,678,No,No
2020,679,No,No
2020,680,No,No
2020,681,Yes,Yes
2020,682,No,No
2020,683,No,No
2020,684,No,No
2020,685,No,No
2020,686,Yes,Yes
2020,687,No,No
2020,688,No,No
2020,689,No,No
2020,690,No,No
2020,691,No,No
2020,692,No,No
2020,693,Yes,Yes
2020,694,No,No
2020,695,No,No
2020,696,No,No
2020,697,No,No
2020,698,No,No
2020,699,No,No
2020,700,No,No
2020,701,Yes,Yes
2020,702,No,No
2020,703,No,No
2020,704,Yes,Yes
2020,705,Yes,Yes
2020,706,Yes,Yes
2020,707,No,No
2020,708,No,No
2020,709,No,No
2020,710,No,No
2020,711,No,No
2020,712,No,No
2020,713,No,No
2020,714,No,No
2020,715,No,No
2020,716,No,No
2020,717,No,No
2020,718,Yes,Yes
2020,719,Yes,Yes
2020,720,No,No
2020,721,Yes,Yes
2020,722,No,No
2020,723,No,No
2020,724,Yes,Yes
2020,725,No,No
2020,726,No,No
2020,727,Yes,Yes
2020,728,No,No
2020,729,No,No
2020,730,No,No
2020,731,No,No
2020,732,No,No
2020,733,No,No
2020,734,No,No
2020,735,No,No
2020,736,No,No
2020,737,No,No
2020,738,No,No
2020,739,No,No
2020,740,No,No
2020,741,No,No
2020,742,No,No
2020,743,No,No
2020,744,Yes,Yes
2020,745,No,No
2020,746,Yes,Yes
2020,747,No,No
2020,748,Yes,Yes
2020,749,Yes,Yes
2020,750,No,No
2020,751,No,No
2020,752,No,No
2020,753,No,No
2020,754,Yes,Yes
2020,755,No,No
2020,756,No,No
2020,757,No,No
2020,758,No,No
2020,759,No,No
2020,760,Yes,Yes
2020,761,Yes,Yes
2020,762,No,No
2020,763,No,No
2020,764,No,No
2020,765,Yes,Yes
2020,766,Yes,Yes
2020,767,No,No
2020,768,No,No
2020,769,No,No
2020,770,No,No
2020,771,No,No
2020,772,No,No
2020,773,No,No
2020,774,Yes,Yes
2020,775,No,No
2020,776,No,No
2020,777,No,No
2020,778,Yes,Yes
2020,779,No,No
2020,780,No,No
2020,781,No,No
2020,782,No,No
2020,783,Yes,Yes
2020,784,Yes,Yes
2020,785,No,No
2020,786,No,No
2020,787,No,No
2020,788,No,No
2020,789,No,No
2020,790,No,No
2020,791,Yes,Yes
2020,792,No,No
2020,793,No,No
2020,794,No,No
2020,795,No,No
2020,796,No,No
2020,797,Yes,Yes
2020,798,Yes,Yes
2020,799,No,No
2020,800,No,No
2020,801,Yes,Yes
2020,802,No,No
2020,803,Yes,Yes
2020,804,Yes,Yes
2020,805,No,No
2020,806,No,No
2020,807,Yes,Yes
2020,808,No,No
2020,809,Yes,Yes
2020,810,No,No
2020,811,No,No
2020,812,Yes,Yes
2020,813,No,No
2020,814,No,No
2020,815,No,No
2020,816,No,No
2020,817,No,No
2020,818,No,No
2020,819,No,No
2020,820,Yes,Yes
2020,821,No,No
2020,822,No,No
2020,823,No,No
2020,824,No,No
2020,825,No,No
2020,826,No,No
2020,827,No,No
2020,828,No,No
2020,829,No,No
2020,830,Yes,Yes
2020,831,No,No
2020,832,No,No
2020,833,Yes,Yes
2020,834,No,No
2020,835,Yes,Yes
2020,836,No,No
2020,837,No,No
2020,838,No,No
2020,839,No,No
2020,840,Yes,Yes
2020,841,Yes,Yes
2020,842,No,No
2020,843,No,No
2020,844,No,No
2020,845,No,No
2020,846,No,No
2020,847,No,No
2020,848,No,No
2020,849,No,No
2020,850,No,No
2020,851,No,No
2020,852,No,No
2020,853,No,No
2020,854,No,No
2020,855,No,No
2020,856,No,No
2020,857,No,No
2020,858,No,No
2020,859,No,No
2020,860,Yes,Yes
2020,861,No,No
2020,862,No,No
2020,863,Yes,Yes
2020,864,No,No
2020,865,Yes,Yes
2020,866,No,No
2020,867,Yes,Yes
2020,868,No,No
2020,869,Yes,Yes
2020,870,No,No
2020,871,No,No
2020,872,No,No
2020,873,No,No
2020,874,No,No
2020,875,Yes,Yes
2020,876,No,No
2020,877,No,No
2020,878,Yes,Yes
2020,879,No,No
2020,880,No,No
2020,881,Yes,Yes
2020,882,No,No
2020,883,No,No
2020,884,No,No
2020,885,Yes,Yes
2020,886,No,No
2020,887,Yes,Yes
2020,888,No,No
2020,889,No,No
2020,890,No,No
2020,891,Yes,Yes
2020,892,No,No
2020,893,No,No
2020,894,No,No
2020,895,No,No
2020,896,No,No
2020,897,No,No
2020,898,No,No
2020,899,No,No
2020,900,No,No
2020,901,No,No
2020,902,No,No
2020,903,No,No
2020,904,Yes,Yes
2020,905,No,No
2020,906,No,No
2020,907,No,No
2020,908,Yes,Yes
2020,909,No,No
2020,910,No,No
2020,911,No,No
2020,912,No,No
2020,913,No,No
2020,914,No,No
2020,915,No,No
2020,916,No,No
2020,917,No,No
2020,918,No,No
2020,919,No,No
2020,920,No,No
2020,921,No,No
2020,922,No,No
2020,923,Yes,Yes
2020,924,No,No
2020,925,No,No
2020,926,No,No
2020,927,No,No
2020,928,No,No
2020,929,No,No
2020,930,No,No
2020,931,Yes,Yes
2020,932,No,No
2020,933,Yes,Yes
2020,934,Yes,Yes
2020,935,Yes,Yes
2020,936,No,No
2020,937,Yes,Yes
2020,938,No,No
2020,939,No,No
2020,940,No,No
2020,941,No,No
2020,942,Yes,Yes
2020,943,No,No
2020,944,No,No
2020,945,No,No
2020,946,Yes,Yes
2020,947,No,No
2020,948,Yes,Yes
2020,949,No,No
2020,950,No,No
2020,951,No,No
2020,952,Yes,Yes
2020,953,No,No
2020,954,No,No
2020,955,Yes,Yes
2020,956,No,No
2020,957,No,No
2020,958,No,No
2020,959,Yes,Yes
2020,960,Yes,Yes
2020,961,No,No
2020,962,No,No
2020,963,No,No
2020,964,No,No
2020,965,No,No
2020,966,No,No
2020,967,No,No
2020,968,No,No
2020,969,No,No
2020,970,No,No
2020,971,No,No
2020,972,No,No
2020,973,No,No
2020,974,Yes,Yes
2020,975,No,No
2020,976,Yes,Yes
2020,977,Yes,Yes
2020,978,No,No
2020,979,No,No
2020,980,No,No
2020,981,No,No
2020,982,Yes,Yes
2020,983,No,No
2020,984,No,No
2020,985,No,No
2020,986,No,No
2020,987,No,No
2020,988,Yes,Yes
2020,989,No,No
2020,990,Yes,Yes
2020,991,No,No
2020,992,Yes,Yes
2020,993,No,No
2020,994,No,No
2020,995,No,No
2020,996,No,No
2020,997,No,No
2020,998,No,No
2020,999,No,No
2020,1000,No,No
2020,1001,No,No
2020,1002,No,No
2020,1003,No,No
2020,1004,No,No
2020,1005,No,No
2020,1006,No,No
2020,1007,No,No
2020,1008,No,No
2020,1009,No,No
2020,1010,No,No
2020,1011,No,No
2020,1012,No,No
2020,1013,No,No
2020,1014,No,No
2020,1015,No,No
2020,1016,No,No
2020,1017,No,No
2020,1018,Yes,Yes
2020,1019,No,No
2020,1020,Yes,Yes
2020,1021,No,No
2020,1022,No,No
2020,1023,No,No
2020,1024,No,No
2020,1025,No,No
2020,1026,No,No
2020,1027,No,No
2020,1028,No,No
2020,1029,No,No
2020,1030,No,No
2020,1031,No,No
2020,1032,No,No
2020,1033,Yes,Yes
2020,1034,No,No
2020,1035,Yes,Yes
2020,1036,No,No
2020,1037,No,No
2020,1038,Yes,Yes
2020,1039,No,No
2020,1040,No,No
2020,1041,No,No
2020,1042,No,No
2020,1043,Yes,Yes
2020,1044,No,No
2020,1045,No,No
2020,1046,Yes,Yes
2020,1047,No,No
2020,1048,No,No
2020,1049,No,No
2020,1050,No,No
2020,1051,No,No
2020,1052,No,No
2020,1053,No,No
2020,1054,No,No
2020,1055,No,No
2020,1056,No,No
2020,1057,Yes,Yes
2020,1058,No,No
2020,1059,No,No
2020,1060,No,No
2020,1061,No,No
2020,1062,Yes,Yes
2020,1063,No,No
2020,1064,No,No
2020,1065,No,No
2020,1066,No,No
2020,1067,Yes,Yes
2020,1068,No,No
2020,1069,No,No
2020,1070,No,No
2020,1071,Yes,Yes
2020,1072,No,No
2020,1073,No,No
2020,1074,No,No
2020,1075,Yes,Yes
2020,1076,No,No
2020,1077,Yes,Yes
2020,1078,No,No
2020,1079,No,No
2020,1080,No,No
2020,1081,No,No
2020,1082,Yes,Yes
2020,1083,No,No
2020,1084,No,No
2020,1085,No,No
2020,1086,No,No
2020,1087,No,No
2020,1088,No,No
2020,1089,No,No
2020,1090,No,No
2020,1091,No,No
2020,1092,No,No
2020,1093,No,No
2020,1094,No,No
2020,1095,No,No
2020,1096,No,No
2020,1097,No,No
2020,1098,No,No
2020,1099,No,No
2020,1100,Yes,Yes
2020,1101,No,No
2020,1102,No,No
2020,1103,No,No
2020,1104,No,No
2020,1105,No,No
2020,1106,No,No
2020,1107,Yes,Yes
2020,1108,No,No
2020,1109,No,No
2020,1110,Yes,Yes
2020,1111,No,No
2020,1112,No,No
2020,1113,Yes,Yes
2020,1114,Yes,Yes
2020,1115,Yes,Yes
2020,1116,No,No
2020,1117,No,No
2020,1118,No,No
2020,1119,No,No
2020,1120,Yes,Yes
2020,1121,No,No
2020,1122,No,No
2020,1123,No,No
2020,1124,No,No
2020,1125,No,No
2020,1126,No,No
2020,1127,No,No
2020,1128,No,No
2020,1129,No,No
2020,1130,Yes,Yes
2020,1131,Yes,Yes
2020,1132,No,No
2020,1133,No,No
2020,1134,No,No
2020,1135,No,No
2020,1136,Yes,Yes
2020,1137,Yes,Yes
2020,1138,Yes,Yes
2020,1139,No,No
2020,1140,No,No
2020,1141,No,No
2020,1142,No,No
2020,1143,No,No
2020,1144,Yes,Yes
2020,1145,No,No
2020,1146,No,No
2020,1147,No,No
2020,1148,No,No
2020,1149,No,No
2020,1150,No,No
2020,1151,No,No
2020,1152,No,No
2020,1153,No,No
2020,1154,No,No
2020,1155,No,No
2020,1156,No,No
2020,1157,No,No
2020,1158,Yes,Yes
2020,1159,No,No
2020,1160,No,No
2020,1161,No,No
2020,1162,No,No
2020,1163,No,No
2020,1164,Yes,Yes
2020,1165,No,No
2020,1166,No,No
2020,1167,Yes,Yes
2020,1168,No,No
2020,1169,No,No
2020,1170,No,No
2020,1171,No,No
2020,1172,No,No
2020,1173,No,No
2020,1174,No,No
2020,1175,No,No
2020,1176,No,No
2020,1177,Yes,Yes
2020,1178,No,No
2020,1179,No,No
2020,1180,No,No
2020,1181,No,No
2020,1182,No,No
2020,1183,No,No
2020,1184,Yes,Yes
2020,1185,No,No
2020,1186,No,No
2020,1187,No,No
2020,1188,No,No
2020,1189,No,No
2020,1190,No,No
2020,1191,No,No
2020,1192,No,No
2020,1193,No,No
2020,1194,No,No
2020,1195,No,No
2020,1196,No,No
2020,1197,Yes,Yes
2020,1198,No,No
2020,1199,No,No
2020,1200,No,No
2020,1201,Yes,Yes
2020,1202,Yes,Yes
2020,1203,No,No
2020,1204,Yes,Yes
2020,1205,No,No
2020,1206,No,No
2020,1207,Yes,Yes
2020,1208,No,No
2020,1209,Yes,Yes
2020,1210,Yes,Yes
2020,1211,No,No
2020,1212,No,No
2020,1213,No,No
2020,1214,No,No
2020,1215,No,No
2020,1216,No,No
2020,1217,No,No
2020,1218,No,No
2020,1219,No,No
2020,1220,No,No
2020,1221,No,No
2020,1222,No,No
2020,1223,No,No
2020,1224,No,No
2020,1225,No,No
2020,1226,No,No
2020,1227,No,No
2020,1228,No,No
2020,1229,No,No
2020,1230,Yes,Yes
2020,1231,No,No
2020,1232,No,No
2020,1233,Yes,Yes
2020,1234,Yes,Yes
2020,1235,No,No
2020,1236,No,No
2020,1237,No,No
2020,1238,No,No
2020,1239,No,No
2020,1240,No,No
2020,1241,No,No
2020,1242,Yes,Yes
2020,1243,No,No
2020,1244,No,No
2020,1245,No,No
2020,1246,Yes,Yes
2020,1247,No,No
2020,1248,No,No
2020,1249,No,No
2020,1250,Yes,Yes
2020,1251,No,No
2020,1252,No,No
2020,1253,No,No
2020,1254,No,No
2020,1255,No,No
2020,1256,Yes,Yes
2020,1257,No,No
2020,1258,No,No
2020,1259,No,No
2020,1260,No,No
2020,1261,No,No
2020,1262,No,No
2020,1263,No,No
2020,1264,No,No
2020,1265,Yes,Yes
2020,1266,No,No
2020,1267,No,No
2020,1268,Yes,Yes
2020,1269,No,No
2020,1270,No,No
2020,1271,No,No
2020,1272,No,No
2020,1273,Yes,Yes
2020,1274,No,No
2020,1275,Yes,Yes
2020,1276,No,No
2020,1277,No,No
2020,1278,No,No
2020,1279,No,No
2020,1280,No,No
2020,1281,No,No
2020,1282,No,No
2020,1283,No,No
2020,1284,No,No
2020,1285,No,No
2020,1286,No,No
2020,1287,Yes,Yes
2020,1288,Yes,Yes
2020,1289,Yes,Yes
2020,1290,No,No
2020,1291,No,No
2020,1292,Yes,Yes
2020,1293,Yes,Yes
2020,1294,No,No
2020,1295,Yes,Yes
2020,1296,No,No
2020,1297,No,No
2020,1298,No,No
2020,1299,No,No
2020,1300,No,No
2020,1301,Yes,Yes
2020,1302,No,No
2020,1303,No,No
2020,1304,No,No
2020,1305,Yes,Yes
2020,1306,Yes,Yes
2020,1307,Yes,Yes
2020,1308,Yes,Yes
2020,1309,No,No
2020,1310,No,No
2020,1311,No,No
2020,1312,No,No
2020,1313,No,No
2020,1314,No,No
2020,1315,No,No
2020,1316,No,No
2020,1317,No,No
2020,1318,No,No
2020,1319,Yes,Yes
2020,1320,Yes,Yes
2020,1321,No,No
2020,1322,No,No
2020,1323,No,No
2020,1324,No,No
2020,1325,No,No
2020,1326,No,No
2020,1327,No,No
2020,1328,No,No
2020,1329,Yes,Yes
2020,1330,No,No
2020,1331,No,No
2020,1332,No,No
2020,1333,No,No
2020,1334,No,No
2020,1335,No,No
2020,1336,Yes,Yes
2020,1337,Yes,Yes
2020,1338,No,No
2020,1339,No,No
2020,1340,No,No
2020,1341,No,No
2020,1342,Yes,Yes
2020,1343,No,No
2020,1344,No,No
2020,1345,No,No
2020,1346,No,No
2020,1347,No,No
2020,1348,Yes,Yes
2020,1349,No,No
2020,1350,No,No
2020,1351,Yes,Yes
2020,1352,No,No
2020,1353,No,No
2020,1354,No,No
2020,1355,No,No
2020,1356,No,No
2020,1357,Yes,Yes
2020,1358,No,No
2020,1359,No,No
2020,1360,Yes,Yes
2020,1361,No,No
2020,1362,No,No
2020,1363,No,No
2020,1364,No,No
2020,1365,No,No
2020,1366,No,No
2020,1367,No,No
2020,1368,Yes,Yes
2020,1369,Yes,Yes
2020,1370,No,No
2020,1371,No,No
2020,1372,Yes,Yes
