"","NAME","GEOID","hh_type_total_countE","conn","water_quality_complaints_received","water_quality_complaints_resolved","ft_mains","lead_lines","meeting_count","meeting_count_1000hh","main_breaks","main_breaks_1000ft_pipe","prop_lead_lines","leaks_detected","prop_lead_lines_replaced","sewer_overflows","leak_detection_expenditure","network_renewal_percent","network_renewal_expenditure","real_losses_percent_delivered","real_loss_reduction_percent"
"25","Census Tract 8462.09, DuPage County, Illinois","17043846209",1267,1222,91,77,132740.841551086,22,1,0.000789265982636148,1,0.00753347642153636,0.0180032733224223,8,0.404038212960586,1,19642.50812307,1.60777613986284,1601.60444706774,47.8570093633607,29.8084152839147
"26","Census Tract 8803.06, Will County, Illinois","17197880306",1930,967,79,71,106765.025546648,0,1,0.000518134715025907,2,0.0187327262814745,0,8,NA,0,937259.658239782,8.7346474500373,7983.01907237778,24.5571092236787,21.2583377491683
"27","Census Tract 8465.13, DuPage County, Illinois","17043846513",900,1,0,0,118.756343502784,0,1,0.00111111111111111,1,8.42060281164312,0,8,NA,1,220295.948674902,16.8427827348933,11646.9621090483,66.2216872209683,21.1330351792276
"28","Census Tract 8464.04, DuPage County, Illinois","17043846404",2780,997,78,71,108831.285508368,32,1,0.000359712230215827,2,0.0183770686035516,0.0320962888665998,8,0.404038212960586,0,291155.295679346,11.8515288177878,3232.60113304864,65.5282248044387,5.36322719650343
"29","Census Tract 8461.02, DuPage County, Illinois","17043846102",2002,115,13,11,12366.5517685548,0,1,0.0004995004995005,1,0.0808632849896573,0,7,NA,0,412904.444150627,18.6698614340276,5069.9209288846,29.8360728425905,78.4371487831231
"30","Census Tract 8462.02, DuPage County, Illinois","17043846202",2415,328,28,25,37125.1875176965,0,1,0.00041407867494824,0,0,0,5,NA,0,510548.820020631,0.977167896926403,63.2743912219636,51.3518038205802,58.8675557484385
"31","Census Tract 8803.10, Will County, Illinois","17197880310",3834,201,14,14,20990.5806632065,0,1,0.000260824204486176,0,0,0,0,NA,1,775039.358297363,4.75322067737579,4142.67461551644,13.3153375703841,32.55595836672
"32","Census Tract 8464.13, DuPage County, Illinois","17043846413",1477,435,37,34,49782.7304217054,0,1,0.000677048070412999,1,0.020087287128068,0,7,NA,1,154514.674795792,7.23795514088124,3109.35104802934,49.2853434523568,48.6442281061318
"33","Census Tract 8803.07, Will County, Illinois","17197880307",2106,1187,103,89,131387.599120688,0,1,0.000474833808167142,0,0,0,1,NA,1,135866.201249883,6.13373866770416,4563.69507902663,76.8210421083495,71.0767694434617
"34","Census Tract 8803.08, Will County, Illinois","17197880308",2777,915,59,56,101892.648586563,0,1,0.000360100828231905,2,0.0196285014448407,0,5,NA,0,130663.727177307,8.82432560902089,7847.63016017841,59.5643872395158,7.96585088944994
"35","Census Tract 8465.14, DuPage County, Illinois","17043846514",1237,1,0,0,64.2779691151809,0,1,0.000808407437348424,2,31.1148598428205,0,2,NA,1,650469.635147601,5.03985339775681,3955.95353014471,60.1676377467811,40.0462571566459
"36","Census Tract 8465.24, DuPage County, Illinois","17043846524",1723,1394,108,98,154413.564294229,0,1,0.000580383052814858,2,0.0129522300009155,0,7,NA,0,201429.466949776,5.51401485223323,2711.17870548934,49.7779543278739,22.3110092675779
"37","Census Tract 8464.11, DuPage County, Illinois","17043846411",1881,707,57,50,77017.5898711346,0,1,0.000531632110579479,0,0,0,0,NA,1,951775.661436841,0.899055055342615,799.765856244301,1.88989257439971,2.91310081956908
"38","Census Tract 8464.12, DuPage County, Illinois","17043846412",1737,702,58,52,76958.5092790013,0,1,0.000575705238917674,2,0.0259880293776132,0,5,NA,1,936630.427604541,18.5972213419154,9091.50299386761,69.3198577035218,3.33682347903959
"39","Census Tract 8465.19, DuPage County, Illinois","17043846519",1147,743,71,60,81786.9570900318,0,1,0.000871839581517001,1,0.012226888437715,0,9,NA,1,774325.710721314,10.7403342332691,6311.35984480518,5.21835763938725,79.6431919909082
"40","Census Tract 8461.06, DuPage County, Illinois","17043846106",1579,907,78,73,99329.551813971,0,1,0.000633312222925902,2,0.0201349947067686,0,3,NA,1,816356.620052829,0.648394078016281,23.6025476731837,84.653750108555,41.6209521645214
"41","Census Tract 8461.05, DuPage County, Illinois","17043846105",1255,1307,134,118,143309.418718505,22,1,0.000796812749003984,0,0,0.0168324407039021,4,0.404038212960586,1,811256.367946044,15.0245276000351,8840.07167245298,77.8979553375393,58.5898784105666
"42","Census Tract 8462.05, DuPage County, Illinois","17043846205",1255,1125,88,83,122294.483233476,0,1,0.000796812749003984,0,0,0,2,NA,1,908675.052691251,17.7986622415483,2738.03830074528,79.9199898028746,74.5090618811082
"43","Census Tract 8461.04, DuPage County, Illinois","17043846104",1518,553,48,46,61143.0265478026,0,1,0.000658761528326746,2,0.0327101897456183,0,6,NA,0,836437.841644511,1.85439244378358,1117.64840663838,54.8883796902373,74.7336088423617
"44","Census Tract 8801.20, Will County, Illinois","17197880120",3090,1,0,0,147.824894367019,0,1,0.000323624595469256,1,6.76476045717446,0,9,NA,0,664975.826628506,10.006137508899,9842.53122513727,5.00629062298685,89.0491423895583
"45","Census Tract 8465.21, DuPage County, Illinois","17043846521",2010,1516,142,128,167380.150324652,0,1,0.000497512437810945,0,0,0,9,NA,1,792008.260032162,4.65579018928111,3681.05042472877,65.02391025424,25.3987608896568
